,node_ID,highway,osmid,y,x,geometry
12894,639105365,,639105365,0.261776,32.6131551,POINT (32.6131551 0.261776)
12895,6225197399,,6225197399,0.3595048,32.6156951,POINT (32.6156951 0.3595048)
12896,6225197400,,6225197400,0.3592735,32.6136224,POINT (32.6136224 0.3592735)
12897,2050488667,,2050488667,0.3458139,32.5615499,POINT (32.5615499 0.3458139)
12898,4929288540,,4929288540,0.2967556,32.5418762,POINT (32.5418762 0.2967556)
12899,2613868892,,2613868892,0.2734616,32.6143004,POINT (32.6143004 0.2734616)
12900,2613868896,,2613868896,0.2728496,32.6114256,POINT (32.6114256 0.2728496)
12901,6225197410,,6225197410,0.3570996,32.6109023,POINT (32.6109023 0.3570996)
12902,6225197411,,6225197411,0.3562058,32.6104367,POINT (32.6104367 0.3562058)
12903,6225197412,,6225197412,0.3516676,32.6098801,POINT (32.6098801 0.3516676)
12904,6241745253,,6241745253,0.2909646,32.5864255,POINT (32.5864255 0.2909646)
12905,6249609571,,6249609571,0.3176689,32.5735688,POINT (32.5735688 0.3176689)
12906,6249609574,,6249609574,0.3168361,32.5719018,POINT (32.5719018 0.3168361)
12907,5554534755,,5554534755,0.2940252,32.5728596,POINT (32.5728596 0.2940252)
12908,6225164645,,6225164645,0.2865285,32.561074,POINT (32.561074 0.2865285)
12909,556857701,,556857701,0.3164409,32.5559114,POINT (32.5559114 0.3164409)
12910,6225197419,,6225197419,0.3503386,32.6137063,POINT (32.6137063 0.3503386)
12911,6225197420,,6225197420,0.3501978,32.6132289,POINT (32.6132289 0.3501978)
12912,6241745261,,6241745261,0.2905494,32.5877317,POINT (32.5877317 0.2905494)
12913,6241745262,,6241745262,0.29176,32.5890125,POINT (32.5890125 0.29176)
12914,6225164646,,6225164646,0.2874174,32.5603012,POINT (32.5603012 0.2874174)
12915,6225164652,,6225164652,0.2868785,32.5606187,POINT (32.5606187 0.2868785)
12916,6225164657,,6225164657,0.2832468,32.5667274,POINT (32.5667274 0.2832468)
12917,2613868909,,2613868909,0.2746044,32.6095968,POINT (32.6095968 0.2746044)
12918,6225164659,,6225164659,0.2826496,32.5670912,POINT (32.5670912 0.2826496)
12919,3892181355,,3892181355,0.3970308,32.5738205,POINT (32.5738205 0.3970308)
12920,2613868915,,2613868915,0.2688116,32.6151561,POINT (32.6151561 0.2688116)
