id,type,name,lat,lon
3896676560,bank,Капитрон банк,47.9207013,106.9432785
3896678531,bank,"Хөдалдаа, хөгжлийн Банк",47.9209949,106.9431504
3896763516,bank,улаанбаатар хотын банк,47.912992,106.9016293
3896771886,marketplace,airmarket билетийн касс,47.9129899,106.901312
3896952648,bank,Хас Банк,47.9132349,106.853285
3896971380,atm,голомт атм,47.9141834,106.8571034
3897537224,marketplace,Бөмбөгөр худалдааны төв,47.9200192,106.9001898
3898586944,marketplace,Ээждээ Хүнсний Дэлгүүр,47.9143584,106.8406394
3900011107,bank,голомт банк,47.9171742,106.9388683
3900072497,bank,Голомт банк,47.9181139,106.9205381
3900077125,bank,Голомт банк,47.919914,106.9027455
3900077980,bank,Голомт банк,47.9165751,106.9186928
3900079785,bank,Голомт банк,47.9171216,106.9157209
3900084192,bank,Голомт банк,47.9155045,106.9061368
3900084405,bank,Голомт банк,47.914295,106.9160453
3900095819,bank,Худалдаа Хөгжлийн Банк,47.9233747,106.8845951
3900114210,bank,Капитал банк,47.9215101,106.9031798
3900167364,bank,Ариг Банк,47.9232229,106.8808593
3900791952,bank,Говь Финанс,47.9139935,106.9159199
3900837703,bank,Капитал Банк,47.9147834,106.8597665
3900845778,bank,Капитал банк,47.9198759,106.9027969
3900854549,bank,,47.9112112,106.87371
3900855752,bank,Капитал Банк,47.9230922,106.8780531
3900861757,bank,Капитал банк,47.9158415,106.8997726
3900866542,atm,Худалдаа хөгжлийн банк,47.9098246,106.8032037
3900867138,bank,Капитал банк,47.9103472,106.8120069
3900867380,bank,Капитал банк,47.9105366,106.8169663
3900868274,bank,Худалдаа хөгжлийн банк,47.9134249,106.9022286
3900870444,bank,Худалдаа Хөгжлийн Банк,47.9103462,106.8352828
3900870494,bank,Худалдаа Хөгжлийн Банк,47.913069,106.8502307
3900873147,fuel,Юнигаз ШТС,47.9282601,106.9366248
3900873363,bank,Худалдаа хөгжлийн банк,47.9150047,106.8761022
3900873922,bank,Худалдаа хөгжлийн банк,47.9163046,106.9021719
3900875192,fuel,UniGas AGS-3,47.9159299,106.9768241
3900875762,atm,Голомт банкны атм,47.9145816,106.9108312
3900886610,bus_station,Чулуун овоо,47.9122697,106.9791216
3900887394,fuel,ДАШВААНЖИЛ-ГАЗ АХЦС№6,47.9128696,106.9996195
3900888423,bank,Amar Agent-Bumbuujei,47.9130322,107.0014128
3900899623,marketplace,зах,47.9122186,106.9868099
3900927362,bank,Хаан банк,47.7746047,107.2536838
3900954542,bank,ATM,47.9143958,106.8906145
3900965002,fuel,Дашваанжил ХХК,47.9095023,106.8187357
3900965221,atm,Төрийн банк АТМ-6 ATM,47.9098762,106.7955131
3901160257,atm,Хаан банк,47.9190497,106.9638974
3901168105,fuel,Синчи ойл ШТС,47.7932859,106.6282313
3901168713,bus_station,Гүүр,47.7934242,106.6280083
3901169081,atm,Төрийн банк,47.9158842,106.9650042
3901177765,bus_station,Моносын буудал,47.7853952,106.6207088
3901265088,bank,ХААН БАНК,47.9185964,106.8843348
3901269959,marketplace,3 н сайхан,47.9902657,106.8262488
3901410948,bank,Хаан банк,47.9212058,106.81752
3901411448,bank,Хаан банк,47.9111303,106.8206095
3901411550,bank,,47.9119167,106.8348975
3901413256,bank,Хаан Банк,47.9097787,106.8363245
3901415524,bank,Хаан банк,47.9126488,106.8561723
3901428115,bank,Хаан банк,47.9228708,106.8679995
3901433091,bank,,47.9227722,106.8866255
3901481360,bank,Хас банк,47.9233501,106.8872537
3901498601,bus_station,Гэмтэлийн эмнэлэг,47.9213963,106.8591389
3901515662,bank,Голомт банк,47.9002877,106.9086425
3901536302,bus_station,Ботаникийн эцэс,47.9125846,107.000962
3901540137,atm,ХАС банк,47.9125419,107.0003038
3901540575,bank,Капитал банк,47.912214,107.0010759
3901552153,bus_station,17-р сургуулийн буудал,47.9486734,106.9136997
3901560490,atm,Хаан банк,47.9217635,106.8616561
3901560895,atm,Голомт,47.9230086,106.8688031
3901561816,atm,ХХБ,47.9229054,106.8679466
3901565524,atm,Голомт Банк,47.9221456,106.8671825
3901565525,atm,Хас Банк,47.9221745,106.8672872
3901569137,atm,Хаан банк,47.9221373,106.8697028
3901610706,bus_station,Нисэхийн эцсийн буудал,47.865388,106.7630953
3901741592,bus_station,60-р сургууль,47.8630068,106.8043983
3902464003,marketplace,Egg mart,47.9118376,106.905311
3902482761,fuel,Сод Монгол ШТС,47.9218318,106.816261
3902483148,atm,ATM,47.9028509,106.9410508
3902494280,bank,Голомт банк,47.8958571,106.9080262
3902494449,atm,АТМ,47.9207924,106.9238412
3902498073,marketplace,"""Түмэн хөрш"" дэлгүүр",47.8706802,106.8191485
3902498674,marketplace,Хүнсний дэлгүүр,47.8722303,106.8264278
3902498675,marketplace,Хүсний дэлгүүр,47.8704516,106.8154415
3902499502,marketplace,Хүнсний дэлгүүр,47.8746505,106.8188064
3902500176,marketplace,Барааны дэлгүүр,47.8684256,106.806723
3902500177,atm,Хаан АТМ,47.8683366,106.8066211
3902501166,bank,Голомт банк,47.9060489,106.9431563
3902501188,marketplace,Мөнхийн рашаан хүнсний дэлгүүр,47.8738505,106.818909
3902502462,marketplace,Хүсний дэлгүүр,47.8707791,106.81461
3902503234,marketplace,Ариун хутаг,47.8711992,106.8145228
